shape_id,trips_per_hour,color
[@15.0.61734120@]335,4.6154,#82CCBB
[@15.0.63188916@]15,6.0000,#82CCBB
[@15.0.63189004@]23,6.0000,#82CCBB
[@15.0.63189004@]25,1.3333,#EDF7B4
[@15.0.63189099@]29,2.7273,#EDF7B4
[@15.0.63189138@]10,1.5000,#EDF7B4
[@15.0.63189138@]25,1.4634,#EDF7B4
[@15.0.63189138@]8,2.0690,#EDF7B4
[@15.0.63189138@]9,1.0169,#EDF7B4
[@15.0.63189208@]3,20.0000,#3180B6
[@15.0.63191692@]369,1.0714,#EDF7B4
[@15.0.63191692@]370,2.4000,#EDF7B4
[@15.0.63191692@]43,2.4000,#EDF7B4
[@15.0.63191892@]26,1.6667,#EDF7B4
[@15.0.63192037@]1,1.7143,#EDF7B4
[@15.0.63192037@]3,1.7143,#EDF7B4
[@15.0.63192037@]4,1.6216,#EDF7B4
[@15.0.63192099@]7,2.2222,#EDF7B4
[@15.0.63192124@]23,6.0000,#82CCBB
[@15.0.63192185@]43,3.5294,#EDF7B4
[@15.0.63192321@]21,1.8182,#EDF7B4
[@15.0.63192321@]25,2.2222,#EDF7B4
[@15.0.63192528@]43,1.5000,#EDF7B4
[@15.0.63192662@]3,1.9355,#EDF7B4
[@15.0.63192662@]36,6.0000,#82CCBB
[@15.0.63192662@]4,1.4634,#EDF7B4
[@15.0.63192662@]5,2.7273,#EDF7B4
[@15.0.63192662@]604,2.6087,#EDF7B4
[@15.0.63192993@]31,1.8750,#EDF7B4
[@15.0.64600293@]1,4.2857,#82CCBB
[@15.0.64600293@]17,20.0000,#3180B6
[@15.0.64600293@]2,2.8571,#EDF7B4
[@15.0.64613606@]1,2.7273,#EDF7B4
[@15.0.64613606@]2,2.1429,#EDF7B4
[@15.0.64613606@]3,10.0000,#3180B6
[@15.0.64613606@]4,2.5000,#EDF7B4
[@15.0.64657075@]1,2.7273,#EDF7B4
[@15.0.64657075@]19,20.0000,#3180B6
[@15.0.64657075@]2,2.0000,#EDF7B4
[@15.0.66063517@]6,12.0000,#3180B6
[@15.0.66063553@]12,1.9355,#EDF7B4
[@15.0.66064083@]23,1.8182,#EDF7B4
[@15.0.66064083@]71,1.0714,#EDF7B4
[@15.0.66064083@]76,10.0000,#3180B6
[@15.0.66064923@]3,3.5294,#EDF7B4
[@15.0.66066034@]15,1.0526,#EDF7B4
[@15.0.66066034@]53,1.1538,#EDF7B4
[@15.0.67916770@]1,20.0000,#3180B6
[@15.0.67916770@]2,6.0000,#82CCBB
[@15.0.67916770@]3,6.0000,#82CCBB
[@15.0.67924657@]4,6.0000,#82CCBB
[@15.0.67924657@]7,6.0000,#82CCBB
[@15.0.68508734@]48,10.0000,#3180B6
[@15.0.68508734@]57,2.6087,#EDF7B4
[@15.0.68508734@]58,8.5714,#3180B6
[@15.0.68508734@]65,10.0000,#3180B6
[@15.0.68508734@]66,1.2245,#EDF7B4
[@15.0.68508995@]2,1.1111,#EDF7B4
[@15.0.68508995@]404,4.0000,#82CCBB
[@15.0.68508995@]405,1.5385,#EDF7B4
[@15.0.68511845@]30,5.0000,#82CCBB
[@15.0.68511981@]39,1.7143,#EDF7B4
[@15.0.68511981@]91,1.2766,#EDF7B4
[@15.0.68511981@]92,2.5000,#EDF7B4
[@15.0.68511981@]93,1.5000,#EDF7B4
[@15.0.68511981@]95,2.2222,#EDF7B4
[@15.0.68511981@]99,1.4634,#EDF7B4
[@15.0.68512008@]101,4.2857,#82CCBB
[@15.0.68512037@]696,8.5714,#3180B6
[@15.0.68512361@]3,12.0000,#3180B6
[@15.0.68512430@]37,12.0000,#3180B6
[@15.0.68512430@]585,3.1579,#EDF7B4
[@15.0.68512636@]18,5.4545,#82CCBB
[@15.0.68512636@]19,1.3043,#EDF7B4
[@15.0.68512808@]3,5.0000,#82CCBB
[@15.0.68512960@]110,2.5000,#EDF7B4
[@15.0.68512960@]111,1.9355,#EDF7B4
[@15.0.68512960@]112,4.2857,#82CCBB
[@15.0.68512960@]65,1.6216,#EDF7B4
[@15.0.68513015@]219,1.0526,#EDF7B4
[@15.0.68513015@]220,1.5789,#EDF7B4
[@15.0.68513188@]4,1.7647,#EDF7B4
[@15.0.68513410@]21,3.3333,#EDF7B4
[@15.0.68513410@]63,5.0000,#82CCBB
[@15.0.69155236@]1,2.0000,#EDF7B4
[@15.0.69155236@]36,5.0000,#82CCBB
[@15.0.69155236@]37,2.0000,#EDF7B4
[@15.0.69155236@]530,2.5000,#EDF7B4
[@15.0.69155236@]540,2.3077,#EDF7B4
[@15.0.69155236@]57,5.0000,#82CCBB
[@15.0.69172548@]1,1.0714,#EDF7B4
[@15.0.69172548@]2,1.0345,#EDF7B4
[@15.0.69172548@]7,6.0000,#82CCBB
[@15.0.70780160@]363,6.6667,#82CCBB
[@15.0.70780451@]31,2.0000,#EDF7B4
[@15.0.70780822@]4,2.0690,#EDF7B4
[@15.0.70781343@]3,2.0000,#EDF7B4
[@15.0.70781976@]15,1.3953,#EDF7B4
[@15.0.71205318@]1,6.0000,#82CCBB
[@15.0.71205318@]2,4.0000,#82CCBB
[@15.0.71205318@]30NIT->BB,2.0690,#EDF7B4
[@15.0.71205318@]30SBB->IT,2.0000,#EDF7B4
[@15.0.73006437@]18,2.4000,#EDF7B4
[@15.0.73006437@]37,1.6216,#EDF7B4
[@15.0.73006437@]38,1.1111,#EDF7B4
[@15.0.73007178@]121,12.0000,#3180B6
[@15.0.73007320@]111,1.2245,#EDF7B4
[@15.0.73007320@]13,6.0000,#82CCBB
[@15.0.73007320@]506,2.1429,#EDF7B4
[@15.0.73007815@]73,1.6216,#EDF7B4
