shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,area,color
[@2.0.86175868@]19,40.115245,-88.182983,260,"781.9027338939705",4,#F8F8F2
[@2.0.86175868@]19,40.115222,-88.182945,261,"786.0221989367517",4,#F8F8F2
[@2.0.86175868@]19,40.1152,-88.182906,262,"790.1416639795328",4,#F8F8F2
[@2.0.86175868@]19,40.115187,-88.182881,263,"792.7122561150978",4,#F8F8F2
[@2.0.86175868@]19,40.115175,-88.182856,264,"795.2208117220839",4,#F8F8F2
[@2.0.86175868@]19,40.115162,-88.182831,265,"797.7914038576489",4,#F8F8F2
[@2.0.86175868@]19,40.115151,-88.182805,266,"800.3160573128707",4,#F8F8F2
[@2.0.86175868@]19,40.115137,-88.182772,267,"803.5252674606252",4,#F8F8F2
[@2.0.86175868@]19,40.115124,-88.182738,268,"806.7568417127336",4,#F8F8F2
[@2.0.86175868@]19,40.11511,-88.182705,269,"809.963245379717",4,#F8F8F2
[@2.0.86175868@]19,40.115097,-88.182671,270,"813.1948196318255",4,#F8F8F2
[@2.0.86175868@]19,40.115084,-88.182638,271,"816.3517060380108",4,#F8F8F2
[@2.0.86175868@]19,40.115072,-88.182606,272,"819.3834883552202",4,#F8F8F2
[@2.0.86175868@]19,40.115059,-88.182572,273,"822.6150626073286",4,#F8F8F2
[@2.0.86175868@]19,40.115048,-88.182539,274,"825.6734529830309",4,#F8F8F2
[@2.0.86175868@]19,40.115041,-88.182519,275,"827.5424172898507",4,#F8F8F2
[@2.0.86175868@]19,40.115035,-88.182498,276,"829.4495276575553",4,#F8F8F2
[@2.0.86175868@]19,40.11503,-88.182477,277,"831.3184919643752",4,#F8F8F2
[@2.0.86175868@]19,40.115024,-88.182457,278,"833.1460538805148",4,#F8F8F2
[@2.0.86175868@]19,40.115018,-88.182436,279,"835.0531642482194",4,#F8F8F2
[@2.0.86175868@]19,40.115012,-88.182415,280,"836.960274615924",4,#F8F8F2
[@2.0.86175868@]19,40.115006,-88.182395,281,"838.7853718486549",4,#F8F8F2
[@2.0.86175868@]19,40.115,-88.182374,282,"840.690120468868",4,#F8F8F2
[@2.0.86175868@]19,40.114986,-88.182326,283,"845.0577985665395",4,#F8F8F2
[@2.0.86175868@]19,40.114971,-88.182277,284,"849.5424297142669",4,#F8F8F2
[@2.0.86175868@]19,40.114956,-88.182228,285,"854.0270608619942",4,#F8F8F2
[@2.0.86175868@]19,40.114941,-88.18218,286,"858.434749060197",4,#F8F8F2
[@2.0.86175868@]19,40.114935,-88.182159,287,"860.3418594279016",4,#F8F8F2
[@2.0.86175868@]19,40.114928,-88.182138,288,"862.2886811910449",4,#F8F8F2
[@2.0.86175868@]19,40.114921,-88.182118,289,"864.1576454978648",4,#F8F8F2
[@2.0.86175868@]19,40.114914,-88.182097,290,"866.1044672610082",4,#F8F8F2
[@2.0.86175868@]19,40.114907,-88.182076,291,"868.0535997926363",4,#F8F8F2
[@2.0.86175868@]19,40.114901,-88.182055,292,"869.9607101603409",4,#F8F8F2
[@2.0.86175868@]19,40.114894,-88.182034,293,"871.9075319234843",4,#F8F8F2
[@2.0.86175868@]19,40.114887,-88.182013,294,"873.8520401721287",4,#F8F8F2
[@2.0.86175868@]19,40.114879,-88.181989,295,"876.0772270454879",4,#F8F8F2
[@2.0.86175868@]19,40.114871,-88.181964,296,"878.3819097910019",4,#F8F8F2
